FrameIndex,ObjectName,"WorldPosition (x,y,z)",RotationEuler,RendererSize,ColliderSize
7,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,"[-19.242,41.057,8.879]","[329.722,155.186,355.628]","[1.985,0.517,1.257]",[]
8,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_LBlade_Geo,"[-13.634,2.220,9.882]","[344.842,215.383,29.677]","[1.592,1.281,1.482]",[]
1,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,"[0.809,3.024,-0.297]","[0.000,0.000,0.000]","[0.372,0.481,0.235]",[]
4,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,"[0.773,2.712,-0.293]","[0.007,159.952,0.017]","[0.430,0.481,0.349]",[]
7,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,"[-19.315,40.929,8.766]","[329.722,155.186,355.628]","[0.551,0.557,0.557]",[]
8,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_Mast_Geo,"[-13.786,2.163,9.974]","[344.842,215.383,29.677]","[0.625,0.643,0.460]",[]
1,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,"[0.933,3.162,-0.299]","[0.000,0.000,0.000]","[2.030,0.289,0.275]",[]
4,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,"[0.655,2.850,-0.333]","[325.007,159.940,0.021]","[2.041,0.395,1.063]",[]
7,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,"[-19.465,41.038,8.770]","[329.722,155.186,355.628]","[1.985,0.521,1.259]",[]
8,R22_Helicopter_V2/Rotors_Group/Main Rotor - Mast/R22_Mechanical_RBlade_Geo,"[-13.789,2.337,10.038]","[344.842,215.383,29.677]","[1.594,1.284,1.481]",[]
